r,t,y,DiscountedTechnologyEmissionsPenalty
RE1,PWRCOA,2035,0
RE1,PWRCOA,2036,0
RE1,PWRCOA,2037,0
RE1,PWRCOA,2038,0
RE1,PWRCOA,2039,0
RE1,PWRCOA,2040,0
RE1,PWRGAS,2020,0
RE1,PWRGAS,2021,0
RE1,PWRGAS,2022,0
RE1,PWRGAS,2023,0
RE1,PWRGAS,2024,0
RE1,PWRGAS,2025,0
RE1,PWRGAS,2026,0
RE1,PWRGAS,2027,0
RE1,PWRGAS,2028,0
RE1,PWRGAS,2029,0
RE1,PWRGAS,2030,0
RE1,PWRGAS,2031,0
RE1,PWRGAS,2032,0
RE1,PWRGAS,2033,0
RE1,PWRGAS,2034,0
RE1,PWRGAS,2035,0
RE1,PWRGAS,2036,0
RE1,PWRGAS,2037,0
RE1,PWRGAS,2038,0
RE1,PWRGAS,2039,0
RE1,PWRGAS,2040,0
RE1,PWRHYD,2020,0
RE1,PWRHYD,2021,0
RE1,PWRHYD,2022,0
RE1,PWRHYD,2023,0
RE1,PWRHYD,2024,0
RE1,PWRHYD,2025,0
RE1,PWRHYD,2026,0
RE1,PWRHYD,2027,0
RE1,PWRHYD,2028,0
RE1,PWRHYD,2029,0
RE1,PWRHYD,2030,0
RE1,PWRHYD,2031,0
RE1,PWRHYD,2032,0
RE1,PWRHYD,2033,0
RE1,PWRHYD,2034,0
RE1,PWRHYD,2035,0
RE1,PWRHYD,2036,0
RE1,PWRHYD,2037,0
RE1,PWRHYD,2038,0
RE1,PWRHYD,2039,0
RE1,PWRHYD,2040,0
RE1,PWRSOL,2020,0
RE1,PWRSOL,2021,0
RE1,PWRSOL,2022,0
RE1,PWRSOL,2023,0
RE1,PWRSOL,2024,0
RE1,PWRSOL,2025,0
RE1,PWRSOL,2026,0
RE1,PWRSOL,2027,0
RE1,PWRSOL,2028,0
RE1,PWRSOL,2029,0
RE1,PWRSOL,2030,0
RE1,PWRSOL,2031,0
RE1,PWRSOL,2032,0
RE1,PWRSOL,2033,0
RE1,PWRSOL,2034,0
RE1,PWRSOL,2035,0
RE1,PWRSOL,2036,0
RE1,PWRSOL,2037,0
RE1,PWRSOL,2038,0
RE1,PWRSOL,2039,0
RE1,PWRSOL,2040,0
RE1,PWRTRN,2020,0
RE1,PWRTRN,2021,0
RE1,PWRTRN,2022,0
RE1,PWRTRN,2023,0
RE1,PWRTRN,2024,0
RE1,PWRTRN,2025,0
RE1,PWRTRN,2026,0
RE1,PWRTRN,2027,0
RE1,PWRTRN,2028,0
RE1,PWRTRN,2029,0
RE1,PWRTRN,2030,0
RE1,PWRTRN,2031,0
RE1,PWRTRN,2032,0
RE1,PWRTRN,2033,0
RE1,PWRTRN,2034,0
RE1,PWRTRN,2035,0
RE1,PWRTRN,2036,0
RE1,PWRTRN,2037,0
RE1,PWRTRN,2038,0
RE1,PWRTRN,2039,0
RE1,PWRTRN,2040,0
RE1,PWRWND,2020,0
RE1,PWRWND,2021,0
RE1,PWRWND,2022,0
RE1,PWRWND,2023,0
RE1,PWRWND,2024,0
RE1,PWRWND,2025,0
RE1,PWRWND,2026,0
RE1,PWRWND,2027,0
RE1,PWRWND,2028,0
RE1,PWRWND,2029,0
RE1,PWRWND,2030,0
RE1,PWRWND,2031,0
RE1,PWRWND,2032,0
RE1,PWRWND,2033,0
RE1,PWRWND,2034,0
RE1,PWRWND,2035,0
RE1,PWRWND,2036,0
RE1,PWRWND,2037,0
RE1,PWRWND,2038,0
RE1,PWRWND,2039,0
RE1,PWRWND,2040,0
