t,f,m,y,l,r,RateOfUseByTechnologyByMode
LNDRICRNF,AGRDSL,1,2028,S11,RE1,0.0838
LNDRICRNF,AGRDSL,1,2029,S11,RE1,0.0417
LNDRICRNF,AGRDSL,1,2030,S11,RE1,0.0
LNDRICRNF,AGRDSL,1,2031,S11,RE1,0.0
LNDRICRNF,AGRDSL,1,2032,S11,RE1,0.0
LNDRICRNF,AGRDSL,1,2033,S11,RE1,0.0
LNDRICRNF,AGRDSL,1,2034,S11,RE1,0.0
LNDRICRNF,AGRDSL,1,2035,S11,RE1,0.0
LNDRICRNF,LND,1,2020,S11,RE1,1.423
LNDRICRNF,LND,1,2021,S11,RE1,1.281
LNDRICRNF,LND,1,2022,S11,RE1,1.138
LNDRICRNF,LND,1,2023,S11,RE1,0.996
LNDRICRNF,LND,1,2024,S11,RE1,0.854
LNDRICRNF,LND,1,2025,S11,RE1,0.711
LNDRICRNF,LND,1,2026,S11,RE1,0.569
LNDRICRNF,LND,1,2027,S11,RE1,0.427
LNDRICRNF,LND,1,2028,S11,RE1,0.285
LNDRICRNF,LND,1,2029,S11,RE1,0.142
LNDRICRNF,LND,1,2030,S11,RE1,0.0
LNDRICRNF,LND,1,2031,S11,RE1,0.0
LNDRICRNF,LND,1,2032,S11,RE1,0.0
LNDRICRNF,LND,1,2033,S11,RE1,0.0
LNDRICRNF,LND,1,2034,S11,RE1,0.0
LNDRICRNF,LND,1,2035,S11,RE1,0.0
LNDRICRNF,WTRPRC,1,2020,S11,RE1,1.7076
LNDRICRNF,WTRPRC,1,2021,S11,RE1,1.5116
LNDRICRNF,WTRPRC,1,2022,S11,RE1,1.3315
LNDRICRNF,WTRPRC,1,2023,S11,RE1,1.1454
LNDRICRNF,WTRPRC,1,2024,S11,RE1,0.9736
LNDRICRNF,WTRPRC,1,2025,S11,RE1,0.7963
LNDRICRNF,WTRPRC,1,2026,S11,RE1,0.6316
LNDRICRNF,WTRPRC,1,2027,S11,RE1,0.4697
LNDRICRNF,WTRPRC,1,2028,S11,RE1,0.3078
LNDRICRNF,WTRPRC,1,2029,S11,RE1,0.1519
LNDRICRNF,WTRPRC,1,2030,S11,RE1,0.0
LNDRICRNF,WTRPRC,1,2031,S11,RE1,0.0
LNDRICRNF,WTRPRC,1,2032,S11,RE1,0.0
LNDRICRNF,WTRPRC,1,2033,S11,RE1,0.0
LNDRICRNF,WTRPRC,1,2034,S11,RE1,0.0
LNDRICRNF,WTRPRC,1,2035,S11,RE1,0.0
LNDWAT,LND,1,2020,S11,RE1,24.9873
LNDWAT,LND,1,2021,S11,RE1,25.021
LNDWAT,LND,1,2022,S11,RE1,25.021
LNDWAT,LND,1,2023,S11,RE1,25.021
LNDWAT,LND,1,2024,S11,RE1,25.021
LNDWAT,LND,1,2025,S11,RE1,25.021
LNDWAT,LND,1,2026,S11,RE1,25.021
LNDWAT,LND,1,2027,S11,RE1,25.9301
LNDWAT,LND,1,2028,S11,RE1,25.021
LNDWAT,LND,1,2029,S11,RE1,25.9556
LNDWAT,LND,1,2030,S11,RE1,25.6338
LNDWAT,LND,1,2031,S11,RE1,25.3778
LNDWAT,LND,1,2032,S11,RE1,25.021
LNDWAT,LND,1,2033,S11,RE1,24.6632
LNDWAT,LND,1,2034,S11,RE1,24.4055
LNDWAT,LND,1,2035,S11,RE1,24.0446
LNDWAT,WTRPRC,1,2020,S11,RE1,29.9848
LNDWAT,WTRPRC,1,2021,S11,RE1,29.5248
LNDWAT,WTRPRC,1,2022,S11,RE1,29.2746
LNDWAT,WTRPRC,1,2023,S11,RE1,28.7742
LNDWAT,WTRPRC,1,2024,S11,RE1,28.5239
LNDWAT,WTRPRC,1,2025,S11,RE1,28.0235
LNDWAT,WTRPRC,1,2026,S11,RE1,27.7733
LNDWAT,WTRPRC,1,2027,S11,RE1,28.5231
LNDWAT,WTRPRC,1,2028,S11,RE1,27.0227
LNDWAT,WTRPRC,1,2029,S11,RE1,27.7725
LNDWAT,WTRPRC,1,2030,S11,RE1,27.1718
LNDWAT,WTRPRC,1,2031,S11,RE1,26.9005
LNDWAT,WTRPRC,1,2032,S11,RE1,26.5223
LNDWAT,WTRPRC,1,2033,S11,RE1,26.143
LNDWAT,WTRPRC,1,2034,S11,RE1,25.6258
LNDWAT,WTRPRC,1,2035,S11,RE1,25.2468
PWRCOA,COA,1,2020,S11,RE1,291.0996
PWRCOA,COA,1,2021,S11,RE1,326.1138
PWRCOA,COA,1,2022,S11,RE1,369.6429
PWRCOA,COA,1,2023,S11,RE1,378.432
PWRCOA,COA,1,2024,S11,RE1,378.432
PWRCOA,COA,1,2025,S11,RE1,327.1692
PWRCOA,COA,1,2026,S11,RE1,296.7483
PWRCOA,COA,1,2027,S11,RE1,303.738
PWRCOA,COA,1,2028,S11,RE1,209.4891
PWRCOA,COA,1,2029,S11,RE1,319.1565
PWRCOA,COA,1,2030,S11,RE1,104.7447
PWRCOA,COA,1,2031,S11,RE1,104.7447
PWRCOA,COA,1,2032,S11,RE1,189.216
PWRCOA,COA,1,2033,S11,RE1,189.216
PWRCOA,COA,1,2034,S11,RE1,189.216
PWRCOA,COA,1,2035,S11,RE1,189.216
PWRCOA,PWRWAT,1,2020,S11,RE1,0.0252
PWRCOA,PWRWAT,1,2021,S11,RE1,0.0283
PWRCOA,PWRWAT,1,2022,S11,RE1,0.032
PWRCOA,PWRWAT,1,2023,S11,RE1,0.0328
PWRCOA,PWRWAT,1,2024,S11,RE1,0.0328
PWRCOA,PWRWAT,1,2025,S11,RE1,0.0284
PWRCOA,PWRWAT,1,2026,S11,RE1,0.0257
PWRCOA,PWRWAT,1,2027,S11,RE1,0.0263
PWRCOA,PWRWAT,1,2028,S11,RE1,0.0182
PWRCOA,PWRWAT,1,2029,S11,RE1,0.0277
PWRCOA,PWRWAT,1,2030,S11,RE1,0.0091
PWRCOA,PWRWAT,1,2031,S11,RE1,0.0091
PWRCOA,PWRWAT,1,2032,S11,RE1,0.0164
PWRCOA,PWRWAT,1,2033,S11,RE1,0.0164
PWRCOA,PWRWAT,1,2034,S11,RE1,0.0164
PWRCOA,PWRWAT,1,2035,S11,RE1,0.0164
PWRGAS,GAS,1,2020,S11,RE1,0.0
PWRGAS,GAS,1,2021,S11,RE1,0.0
PWRGAS,GAS,1,2022,S11,RE1,0.0
PWRGAS,GAS,1,2023,S11,RE1,25.0128
PWRGAS,GAS,1,2024,S11,RE1,55.8238
PWRGAS,GAS,1,2025,S11,RE1,122.826
PWRGAS,GAS,1,2026,S11,RE1,179.5654
PWRGAS,GAS,1,2027,S11,RE1,211.4228
PWRGAS,GAS,1,2028,S11,RE1,312.8392
PWRGAS,GAS,1,2029,S11,RE1,281.9458
PWRGAS,GAS,1,2030,S11,RE1,468.9868
PWRGAS,GAS,1,2031,S11,RE1,514.3918
PWRGAS,GAS,1,2032,S11,RE1,507.2124
PWRGAS,GAS,1,2033,S11,RE1,558.2292
PWRGAS,GAS,1,2034,S11,RE1,613.1584
PWRGAS,GAS,1,2035,S11,RE1,669.8122
PWRGAS,PWRWAT,1,2020,S11,RE1,0.0
PWRGAS,PWRWAT,1,2021,S11,RE1,0.0
PWRGAS,PWRWAT,1,2022,S11,RE1,0.0
PWRGAS,PWRWAT,1,2023,S11,RE1,0.0028
PWRGAS,PWRWAT,1,2024,S11,RE1,0.0061
PWRGAS,PWRWAT,1,2025,S11,RE1,0.0135
PWRGAS,PWRWAT,1,2026,S11,RE1,0.0198
PWRGAS,PWRWAT,1,2027,S11,RE1,0.0233
PWRGAS,PWRWAT,1,2028,S11,RE1,0.0344
PWRGAS,PWRWAT,1,2029,S11,RE1,0.031
PWRGAS,PWRWAT,1,2030,S11,RE1,0.0516
PWRGAS,PWRWAT,1,2031,S11,RE1,0.0566
PWRGAS,PWRWAT,1,2032,S11,RE1,0.0558
PWRGAS,PWRWAT,1,2033,S11,RE1,0.0614
PWRGAS,PWRWAT,1,2034,S11,RE1,0.0674
PWRGAS,PWRWAT,1,2035,S11,RE1,0.0737
PWRHYD,HYD,1,2020,S11,RE1,28.3824
PWRHYD,HYD,1,2021,S11,RE1,28.3824
PWRHYD,HYD,1,2022,S11,RE1,28.3824
PWRHYD,HYD,1,2023,S11,RE1,28.3824
PWRHYD,HYD,1,2024,S11,RE1,28.3824
PWRHYD,HYD,1,2025,S11,RE1,28.3824
PWRHYD,HYD,1,2026,S11,RE1,28.3824
PWRHYD,HYD,1,2027,S11,RE1,28.3824
PWRHYD,HYD,1,2028,S11,RE1,28.3824
PWRHYD,HYD,1,2029,S11,RE1,28.3824
PWRHYD,HYD,1,2030,S11,RE1,28.3824
PWRHYD,HYD,1,2031,S11,RE1,28.3824
PWRHYD,HYD,1,2032,S11,RE1,28.3824
PWRHYD,HYD,1,2033,S11,RE1,28.3824
PWRHYD,HYD,1,2034,S11,RE1,28.3824
PWRHYD,HYD,1,2035,S11,RE1,28.3824
PWRSOL,SOL,1,2020,S11,RE1,12.299
PWRSOL,SOL,1,2021,S11,RE1,12.299
PWRSOL,SOL,1,2022,S11,RE1,12.299
PWRSOL,SOL,1,2023,S11,RE1,12.299
PWRSOL,SOL,1,2024,S11,RE1,12.299
PWRSOL,SOL,1,2025,S11,RE1,12.299
PWRSOL,SOL,1,2026,S11,RE1,12.299
PWRSOL,SOL,1,2027,S11,RE1,12.299
PWRSOL,SOL,1,2028,S11,RE1,12.299
PWRSOL,SOL,1,2029,S11,RE1,12.299
PWRSOL,SOL,1,2030,S11,RE1,12.299
PWRSOL,SOL,1,2031,S11,RE1,12.299
PWRSOL,SOL,1,2032,S11,RE1,12.299
PWRSOL,SOL,1,2033,S11,RE1,12.299
PWRSOL,SOL,1,2034,S11,RE1,12.299
PWRSOL,SOL,1,2035,S11,RE1,12.299
PWRTRN,ELC001,1,2020,S11,RE1,141.972
PWRTRN,ELC001,1,2021,S11,RE1,153.6434
PWRTRN,ELC001,1,2022,S11,RE1,168.1531
PWRTRN,ELC001,1,2023,S11,RE1,183.5892
PWRTRN,ELC001,1,2024,S11,RE1,198.9947
PWRTRN,ELC001,1,2025,S11,RE1,215.4083
PWRTRN,ELC001,1,2026,S11,RE1,233.6376
PWRTRN,ELC001,1,2027,S11,RE1,251.8962
PWRTRN,ELC001,1,2028,S11,RE1,271.1881
PWRTRN,ELC001,1,2029,S11,RE1,292.2972
PWRTRN,ELC001,1,2030,S11,RE1,314.3471
PWRTRN,ELC001,1,2031,S11,RE1,337.0496
PWRTRN,ELC001,1,2032,S11,RE1,361.617
PWRTRN,ELC001,1,2033,S11,RE1,387.1254
PWRTRN,ELC001,1,2034,S11,RE1,414.59
PWRTRN,ELC001,1,2035,S11,RE1,442.9169
PWRWND,WND,1,2020,S11,RE1,16.5564
PWRWND,WND,1,2021,S11,RE1,16.5564
PWRWND,WND,1,2022,S11,RE1,16.5564
PWRWND,WND,1,2023,S11,RE1,16.5564
PWRWND,WND,1,2024,S11,RE1,16.5564
PWRWND,WND,1,2025,S11,RE1,16.5564
PWRWND,WND,1,2026,S11,RE1,16.5564
PWRWND,WND,1,2027,S11,RE1,16.5564
PWRWND,WND,1,2028,S11,RE1,16.5564
PWRWND,WND,1,2029,S11,RE1,16.5564
PWRWND,WND,1,2030,S11,RE1,16.5564
PWRWND,WND,1,2031,S11,RE1,16.5564
PWRWND,WND,1,2032,S11,RE1,16.5564
PWRWND,WND,1,2033,S11,RE1,16.5564
PWRWND,WND,1,2034,S11,RE1,16.5564
PWRWND,WND,1,2035,S11,RE1,16.5564
RSCHYD,WTRRUN,1,2020,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2021,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2022,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2023,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2024,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2025,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2026,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2027,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2028,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2029,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2030,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2031,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2032,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2033,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2034,S11,RE1,81.0926
RSCHYD,WTRRUN,1,2035,S11,RE1,81.0926
UPSWTRSUR,WTRRUN,1,2020,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2021,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2022,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2023,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2024,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2025,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2026,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2027,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2028,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2029,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2030,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2031,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2032,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2033,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2034,S11,RE1,0.0
UPSWTRSUR,WTRRUN,1,2035,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2020,S12,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2021,S12,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2022,S12,RE1,0.2875
DEMAGRGWTWAT,ELC002,1,2023,S12,RE1,0.378
DEMAGRGWTWAT,ELC002,1,2024,S12,RE1,0.324
DEMAGRGWTWAT,ELC002,1,2025,S12,RE1,0.27
DEMAGRGWTWAT,ELC002,1,2026,S12,RE1,0.216
DEMAGRGWTWAT,ELC002,1,2027,S12,RE1,0.162
DEMAGRGWTWAT,ELC002,1,2028,S12,RE1,0.108
DEMAGRGWTWAT,ELC002,1,2029,S12,RE1,0.054
DEMAGRGWTWAT,ELC002,1,2030,S12,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2031,S12,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2032,S12,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2033,S12,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2034,S12,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2035,S12,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2020,S12,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2021,S12,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2022,S12,RE1,0.2662
DEMAGRGWTWAT,WTRGWT,1,2023,S12,RE1,0.35
DEMAGRGWTWAT,WTRGWT,1,2024,S12,RE1,0.3
DEMAGRGWTWAT,WTRGWT,1,2025,S12,RE1,0.25
DEMAGRGWTWAT,WTRGWT,1,2026,S12,RE1,0.2
DEMAGRGWTWAT,WTRGWT,1,2027,S12,RE1,0.15
DEMAGRGWTWAT,WTRGWT,1,2028,S12,RE1,0.1
DEMAGRGWTWAT,WTRGWT,1,2029,S12,RE1,0.05
DEMAGRGWTWAT,WTRGWT,1,2030,S12,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2031,S12,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2032,S12,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2033,S12,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2034,S12,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2035,S12,RE1,0.0
DEMAGRSURWAT,ELC002,1,2020,S12,RE1,0.4293
DEMAGRSURWAT,ELC002,1,2021,S12,RE1,0.6669
DEMAGRSURWAT,ELC002,1,2022,S12,RE1,0.688
DEMAGRSURWAT,ELC002,1,2023,S12,RE1,0.9044
DEMAGRSURWAT,ELC002,1,2024,S12,RE1,1.2251
DEMAGRSURWAT,ELC002,1,2025,S12,RE1,1.6096
DEMAGRSURWAT,ELC002,1,2026,S12,RE1,1.958
DEMAGRSURWAT,ELC002,1,2027,S12,RE1,2.3177
DEMAGRSURWAT,ELC002,1,2028,S12,RE1,2.7619
DEMAGRSURWAT,ELC002,1,2029,S12,RE1,3.1626
DEMAGRSURWAT,ELC002,1,2030,S12,RE1,3.575
DEMAGRSURWAT,ELC002,1,2031,S12,RE1,3.6652
DEMAGRSURWAT,ELC002,1,2032,S12,RE1,3.7561
DEMAGRSURWAT,ELC002,1,2033,S12,RE1,3.8477
DEMAGRSURWAT,ELC002,1,2034,S12,RE1,4.0215
DEMAGRSURWAT,ELC002,1,2035,S12,RE1,4.1169
DEMAGRSURWAT,WTRSUR,1,2020,S12,RE1,0.4992
DEMAGRSURWAT,WTRSUR,1,2021,S12,RE1,0.7755
DEMAGRSURWAT,WTRSUR,1,2022,S12,RE1,0.8
DEMAGRSURWAT,WTRSUR,1,2023,S12,RE1,1.0516
DEMAGRSURWAT,WTRSUR,1,2024,S12,RE1,1.4245
DEMAGRSURWAT,WTRSUR,1,2025,S12,RE1,1.8716
DEMAGRSURWAT,WTRSUR,1,2026,S12,RE1,2.2767
DEMAGRSURWAT,WTRSUR,1,2027,S12,RE1,2.695
DEMAGRSURWAT,WTRSUR,1,2028,S12,RE1,3.2115
DEMAGRSURWAT,WTRSUR,1,2029,S12,RE1,3.6774
DEMAGRSURWAT,WTRSUR,1,2030,S12,RE1,4.157
DEMAGRSURWAT,WTRSUR,1,2031,S12,RE1,4.2619
DEMAGRSURWAT,WTRSUR,1,2032,S12,RE1,4.3676
DEMAGRSURWAT,WTRSUR,1,2033,S12,RE1,4.4741
DEMAGRSURWAT,WTRSUR,1,2034,S12,RE1,4.6762
DEMAGRSURWAT,WTRSUR,1,2035,S12,RE1,4.7871
DEMPUBGWTWAT,ELC002,1,2020,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2021,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2022,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2023,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2024,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2025,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2026,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2027,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2028,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2029,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2030,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2031,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2032,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2033,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2034,S12,RE1,0.0
DEMPUBGWTWAT,ELC002,1,2035,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2020,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2021,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2022,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2023,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2024,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2025,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2026,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2027,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2028,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2029,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2030,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2031,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2032,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2033,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2034,S12,RE1,0.0
DEMPUBGWTWAT,WTRGWT,1,2035,S12,RE1,0.0
DEMPUBSURWAT,ELC002,1,2020,S12,RE1,1.4971
DEMPUBSURWAT,ELC002,1,2021,S12,RE1,1.6029
DEMPUBSURWAT,ELC002,1,2022,S12,RE1,1.7146
DEMPUBSURWAT,ELC002,1,2023,S12,RE1,1.8296
DEMPUBSURWAT,ELC002,1,2024,S12,RE1,1.9489
DEMPUBSURWAT,ELC002,1,2025,S12,RE1,2.0741
DEMPUBSURWAT,ELC002,1,2026,S12,RE1,2.2041
DEMPUBSURWAT,ELC002,1,2027,S12,RE1,2.3386
DEMPUBSURWAT,ELC002,1,2028,S12,RE1,2.4805
DEMPUBSURWAT,ELC002,1,2029,S12,RE1,2.6271
DEMPUBSURWAT,ELC002,1,2030,S12,RE1,2.7811
DEMPUBSURWAT,ELC002,1,2031,S12,RE1,2.9413
DEMPUBSURWAT,ELC002,1,2032,S12,RE1,3.1076
DEMPUBSURWAT,ELC002,1,2033,S12,RE1,3.2814
DEMPUBSURWAT,ELC002,1,2034,S12,RE1,3.4627
DEMPUBSURWAT,ELC002,1,2035,S12,RE1,3.653
DEMPUBSURWAT,WTRSUR,1,2020,S12,RE1,0.5309
DEMPUBSURWAT,WTRSUR,1,2021,S12,RE1,0.5684
DEMPUBSURWAT,WTRSUR,1,2022,S12,RE1,0.608
DEMPUBSURWAT,WTRSUR,1,2023,S12,RE1,0.6488
DEMPUBSURWAT,WTRSUR,1,2024,S12,RE1,0.6911
DEMPUBSURWAT,WTRSUR,1,2025,S12,RE1,0.7355
DEMPUBSURWAT,WTRSUR,1,2026,S12,RE1,0.7816
DEMPUBSURWAT,WTRSUR,1,2027,S12,RE1,0.8293
DEMPUBSURWAT,WTRSUR,1,2028,S12,RE1,0.8796
DEMPUBSURWAT,WTRSUR,1,2029,S12,RE1,0.9316
DEMPUBSURWAT,WTRSUR,1,2030,S12,RE1,0.9862
DEMPUBSURWAT,WTRSUR,1,2031,S12,RE1,1.043
DEMPUBSURWAT,WTRSUR,1,2032,S12,RE1,1.102
DEMPUBSURWAT,WTRSUR,1,2033,S12,RE1,1.1636
DEMPUBSURWAT,WTRSUR,1,2034,S12,RE1,1.2279
DEMPUBSURWAT,WTRSUR,1,2035,S12,RE1,1.2954
DEMPWRSURWAT,ELC002,1,2020,S12,RE1,0.1004
DEMPWRSURWAT,ELC002,1,2021,S12,RE1,0.1111
DEMPWRSURWAT,ELC002,1,2022,S12,RE1,0.123
DEMPWRSURWAT,ELC002,1,2023,S12,RE1,0.1348
DEMPWRSURWAT,ELC002,1,2024,S12,RE1,0.1469
DEMPWRSURWAT,ELC002,1,2025,S12,RE1,0.1596
DEMPWRSURWAT,ELC002,1,2026,S12,RE1,0.1737
DEMPWRSURWAT,ELC002,1,2027,S12,RE1,0.1878
DEMPWRSURWAT,ELC002,1,2028,S12,RE1,0.2028
DEMPWRSURWAT,ELC002,1,2029,S12,RE1,0.2191
DEMPWRSURWAT,ELC002,1,2030,S12,RE1,0.2273
DEMPWRSURWAT,ELC002,1,2031,S12,RE1,0.2448
DEMPWRSURWAT,ELC002,1,2032,S12,RE1,0.2561
DEMPWRSURWAT,ELC002,1,2033,S12,RE1,0.2758
DEMPWRSURWAT,ELC002,1,2034,S12,RE1,0.2969
DEMPWRSURWAT,ELC002,1,2035,S12,RE1,0.3189
DEMPWRSURWAT,WTRSUR,1,2020,S12,RE1,0.0356
DEMPWRSURWAT,WTRSUR,1,2021,S12,RE1,0.0394
DEMPWRSURWAT,WTRSUR,1,2022,S12,RE1,0.0436
DEMPWRSURWAT,WTRSUR,1,2023,S12,RE1,0.0478
DEMPWRSURWAT,WTRSUR,1,2024,S12,RE1,0.0521
DEMPWRSURWAT,WTRSUR,1,2025,S12,RE1,0.0566
DEMPWRSURWAT,WTRSUR,1,2026,S12,RE1,0.0616
DEMPWRSURWAT,WTRSUR,1,2027,S12,RE1,0.0666
DEMPWRSURWAT,WTRSUR,1,2028,S12,RE1,0.0719
DEMPWRSURWAT,WTRSUR,1,2029,S12,RE1,0.0777
DEMPWRSURWAT,WTRSUR,1,2030,S12,RE1,0.0806
DEMPWRSURWAT,WTRSUR,1,2031,S12,RE1,0.0868
DEMPWRSURWAT,WTRSUR,1,2032,S12,RE1,0.0908
DEMPWRSURWAT,WTRSUR,1,2033,S12,RE1,0.0978
DEMPWRSURWAT,WTRSUR,1,2034,S12,RE1,0.1053
DEMPWRSURWAT,WTRSUR,1,2035,S12,RE1,0.1131
DEMTRABIO,CRPMAI,1,2020,S12,RE1,1.1848
DEMTRABIO,CRPMAI,1,2021,S12,RE1,1.2204
DEMTRABIO,CRPMAI,1,2022,S12,RE1,1.2559
DEMTRABIO,CRPMAI,1,2023,S12,RE1,1.2915
DEMTRABIO,CRPMAI,1,2024,S12,RE1,1.327
DEMTRABIO,CRPMAI,1,2025,S12,RE1,1.3744
DEMTRABIO,CRPMAI,1,2026,S12,RE1,1.41
DEMTRABIO,CRPMAI,1,2027,S12,RE1,1.4455
DEMTRABIO,CRPMAI,1,2028,S12,RE1,1.4929
DEMTRABIO,CRPMAI,1,2029,S12,RE1,1.5403
DEMTRABIO,CRPMAI,1,2030,S12,RE1,1.5877
DEMTRABIO,CRPMAI,1,2031,S12,RE1,1.6351
DEMTRABIO,CRPMAI,1,2032,S12,RE1,1.6825
DEMTRABIO,CRPMAI,1,2033,S12,RE1,1.7299
DEMTRABIO,CRPMAI,1,2034,S12,RE1,1.7773
DEMTRABIO,CRPMAI,1,2035,S12,RE1,1.8246
LNDBLT,LND,1,2020,S12,RE1,15.0
LNDBLT,LND,1,2021,S12,RE1,15.2
LNDBLT,LND,1,2022,S12,RE1,15.3
LNDBLT,LND,1,2023,S12,RE1,15.5
LNDBLT,LND,1,2024,S12,RE1,15.6
LNDBLT,LND,1,2025,S12,RE1,15.8
LNDBLT,LND,1,2026,S12,RE1,15.9
LNDBLT,LND,1,2027,S12,RE1,16.1
LNDBLT,LND,1,2028,S12,RE1,16.2
LNDBLT,LND,1,2029,S12,RE1,16.4
LNDBLT,LND,1,2030,S12,RE1,16.6
LNDBLT,LND,1,2031,S12,RE1,16.7
LNDBLT,LND,1,2032,S12,RE1,16.9
LNDBLT,LND,1,2033,S12,RE1,17.1
LNDBLT,LND,1,2034,S12,RE1,17.2
LNDBLT,LND,1,2035,S12,RE1,17.4
LNDBLT,WTRPRC,1,2020,S12,RE1,18.0
LNDBLT,WTRPRC,1,2021,S12,RE1,17.936
LNDBLT,WTRPRC,1,2022,S12,RE1,17.901
LNDBLT,WTRPRC,1,2023,S12,RE1,17.825
LNDBLT,WTRPRC,1,2024,S12,RE1,17.784
LNDBLT,WTRPRC,1,2025,S12,RE1,17.696
LNDBLT,WTRPRC,1,2026,S12,RE1,17.649
LNDBLT,WTRPRC,1,2027,S12,RE1,17.71
LNDBLT,WTRPRC,1,2028,S12,RE1,17.496
LNDBLT,WTRPRC,1,2029,S12,RE1,17.548
LNDBLT,WTRPRC,1,2030,S12,RE1,17.596
LNDBLT,WTRPRC,1,2031,S12,RE1,17.702
LNDBLT,WTRPRC,1,2032,S12,RE1,17.914
LNDBLT,WTRPRC,1,2033,S12,RE1,18.126
LNDBLT,WTRPRC,1,2034,S12,RE1,18.06
LNDBLT,WTRPRC,1,2035,S12,RE1,18.27
LNDFOR,LND,1,2020,S12,RE1,253.6
LNDFOR,LND,1,2021,S12,RE1,253.4175
LNDFOR,LND,1,2022,S12,RE1,253.3505
LNDFOR,LND,1,2023,S12,RE1,253.1898
LNDFOR,LND,1,2024,S12,RE1,253.1284
LNDFOR,LND,1,2025,S12,RE1,252.9477
